LOCATION,SAMPLE_ID,LATITUDE,LONGITUDE,ORDER,TYPE,TYPE_NUM
CALIFORNIA,IGNF-01,32.853683,-116.288567,1,RIVER,1
CALIFORNIA,IGNF-07,32.859500,-116.263233,2,RIVER,1
CALIFORNIA,IGNF-11,32.863683,-116.244417,3,RIVER,1
CALIFORNIA,IGNF-13,32.868533,-116.238317,4,RIVER,1
CALIFORNIA,IGNF-17,32.873383,-116.221167,5,RIVER,1
NORWAY,AUS-DRIFT,61.584000,7.001000,0,MORAINE,0
NORWAY,AUS-01,61.589000,6.994000,1,RIVER,1
NORWAY,AUS-03,61.579000,6.996000,2,RIVER,1
NORWAY,AUS-07,61.544000,6.977000,3,RIVER,1
NORWAY,ELVA-01,61.535000,6.969000,4,RIVER,1
NORWAY,ELVA-05,61.507750,6.983633,5,RIVER,1
NORWAY,ELVA-07,61.496633,6.985067,6,RIVER,1
NORWAY,ELVA-11,61.480483,7.019617,7,RIVER,1
PERU,RP-MORAINE,-9.004667,-77.684083,0,MORAINE,0
PERU,RP-01,-9.003567,-77.687433,1,RIVER,1
PERU,RP-03,-9.012600,-77.699967,2,RIVER,1
PERU,RP-05,-9.023967,-77.715867,3,RIVER,1
PERU,RP-06,-9.039217,-77.732733,4,RIVER,1
PERU,RP-08,-9.048302,-77.747691,5,RIVER,1
PUERTO_RICO,RG-03,18.069050,-65.995550,1,RIVER,1
PUERTO_RICO,RG-06,18.059750,-65.922933,4,RIVER,1
PUERTO_RICO,RG-09,18.052000,-65.915350,5,RIVER,1
PUERTO_RICO,RG-10,18.057217,-65.900467,6,RIVER,1
PUERTO_RICO,RG-13,18.080950,-65.975850,2,RIVER,1
PUERTO_RICO,RG-15,18.075083,-65.945650,3,RIVER,1